Outcome,Team A,Team B,Score A,Score B,Date,Best Of,Map 1,Map 2,Map 3,Map 4,Map 5
1,Cloud9,ThiccWRECK,2,0,2021-02-25,3,Ascent,Haven,,,
1,OW Refugees,select few,2,1,2021-02-25,3,Bind,Haven,Ascent,,
1,Last Round Save,Caught in 4k,2,0,2021-02-25,3,Ascent,Icebox,,,
1,Brimstone Gaming,Akuma Esports Black,2,0,2021-02-25,3,Haven,Split,,,
1,Ghost Gaming,ALL GAS NO BRAKES,2,0,2021-02-25,3,Ascent,Bind,,,
0,Radiant Roombas,lads,0,0,2021-02-25,3,,,,,
1,ex-FUNSNATCHERS,Team Reinvented Gaming,2,0,2021-02-25,3,Ascent,Haven,,,
0,Spotlight,Illuzion Orange,0,0,2021-02-25,3,,,,,
1,Renegades,"Stay Small, Stay Second",2,0,2021-02-25,3,Bind,Haven,,,
1,THE FIVE EMPERORS,PremierGG,2,0,2021-02-25,3,Bind,Haven,,,
1,Evil Geniuses,Aqua,2,0,2021-02-25,3,Icebox,Haven,,,
1,Project,LoV,2,0,2021-02-25,3,Bind,Icebox,,,
1,Sedated,EthanK Fan Club,2,0,2021-02-25,3,Icebox,Ascent,,,
1,Akella,Exzit,2,0,2021-02-25,3,Bind,Ascent,,,
1,beastcoast,GCU Esports,2,0,2021-02-25,3,Icebox,Ascent,,,
-1,Sakura Storm,Bounty Esports,1,2,2021-02-25,3,Split,Ascent,Haven,,
1,Built By Gamers,ExPandable,2,0,2021-02-25,3,Split,Ascent,,,
1,NBKS CENTURIONS,Neebs and Weebs,2,1,2021-02-25,3,Ascent,Bind,Haven,,
1,Elysium,MNR,2,1,2021-02-25,3,Bind,Haven,Ascent,,
1,BLAHAJ,YMCMB,2,1,2021-02-25,3,Bind,Icebox,Ascent,,
1,Spacestation Gaming,Lunch Club,2,0,2021-02-25,3,Ascent,Bind,,,
-1,VT Valorant,s2xx,0,2,2021-02-25,3,Split,Ascent,,,
1,DaHoonkaBhanKoloos(Kooky Koalas ),Square Nation,2,0,2021-02-25,3,Bind,Ascent,,,
1,VIRTUOSO,Kissy Boys,2,0,2021-02-25,3,Haven,Split,,,
-1,eUnited,Frick Ya Bag,0,2,2021-02-25,3,Ascent,Bind,,,
1,Complexity,Lycus Empire,2,0,2021-02-25,3,Icebox,Ascent,,,
1,Version1,Entourage,2,0,2021-02-25,3,Icebox,Haven,,,
1,NRG Esports,VZN,2,0,2021-02-25,3,Haven,Icebox,,,
1,Penguin Sledding,303 Esports,2,1,2021-02-25,3,Ascent,Haven,Split,,
1,Spot Up,Nautic,2,0,2021-02-25,3,Haven,Icebox,,,
1,NSIC,Take Flyte,2,0,2021-02-25,3,Ascent,Haven,,,
1,Rise,Dialed In,2,1,2021-02-25,3,Icebox,Bind,Split,,
-1,Headshot Percentage,seeker,1,2,2021-02-25,3,Ascent,Bind,Icebox,,
1,Andbox,Pirate Nation,2,0,2021-02-25,3,Split,Ascent,,,
-1,Cloud9 White,Demon Time,0,2,2021-02-25,3,Haven,Icebox,,,
1,Knights,RIFLE CRUTCHERS,2,1,2021-02-25,3,Bind,Haven,Ascent,,
-1,Hollywood Hooliganz,On Top Soon,0,2,2021-02-25,3,Ascent,Icebox,,,
1,Equinox Esports,YFP Gaming,2,0,2021-02-25,3,Haven,Icebox,,,
-1,Reformed,Archons,0,2,2021-02-25,3,Icebox,Ascent,,,
-1,Carpe Noctem,Grapefruit Techniques,0,2,2021-02-25,3,Bind,Split,,,
1,Cloud9,OW Refugees,2,0,2021-02-25,3,Bind,Ascent,,,
1,Last Round Save,Brimstone Gaming,2,1,2021-02-25,3,Ascent,Haven,Split,,
1,Ghost Gaming,Radiant Roombas,2,0,2021-02-25,3,Bind,Ascent,,,
-1,ex-FUNSNATCHERS,Spotlight,0,2,2021-02-25,3,Haven,Ascent,,,
1,Renegades,THE FIVE EMPERORS,2,0,2021-02-25,3,Bind,Haven,,,
1,Evil Geniuses,Project,2,1,2021-02-25,3,Ascent,Icebox,Split,,
-1,Sedated,Akella,0,2,2021-02-25,3,Ascent,Bind,,,
1,beastcoast,Bounty Esports,2,0,2021-02-25,3,Bind,Ascent,,,
1,Built By Gamers,NBKS CENTURIONS,2,0,2021-02-25,3,Ascent,Bind,,,
1,Spacestation Gaming,s2xx,2,0,2021-02-25,3,Bind,Ascent,,,
1,DaHoonkaBhanKoloos(Kooky Koalas ),VIRTUOSO,2,1,2021-02-25,3,Split,Ascent,Haven,,
1,T1,PUGSTARS,2,1,2021-02-25,3,Ascent,Haven,Split,,
1,TSM,TradeLikePros,2,0,2021-02-25,3,Ascent,Icebox,,,
1,Time In,Able Esports,2,0,2021-02-25,3,Icebox,Bind,,,
1,On The Way,Interstate 95,2,0,2021-02-25,3,Haven,Ascent,,,
1,Elysium,BLAHAJ,2,1,2021-02-25,3,Icebox,Ascent,Bind,,
1,TSM,Penguin Sledding,2,0,2021-02-26,3,Bind,Ascent,,,
1,Spot Up,Complexity,2,0,2021-02-26,3,Icebox,Split,,,
1,Version1,NSIC,2,0,2021-02-26,3,Haven,Split,,,
1,Rise,seeker,2,0,2021-02-26,3,Icebox,Bind,,,
-1,Andbox,Demon Time,1,2,2021-02-26,3,Haven,Ascent,Icebox,,
1,Knights,On Top Soon,2,0,2021-02-26,3,Ascent,Haven,,,
1,NRG Esports,Time In,2,0,2021-02-26,3,Icebox,Ascent,,,
-1,Equinox Esports,On The Way,1,2,2021-02-26,3,Ascent,Bind,Icebox,,
1,T1,Archons,2,0,2021-02-26,3,Icebox,Haven,,,
1,Frick Ya Bag,Grapefruit Techniques,2,0,2021-02-26,3,Haven,Bind,,,
1,Cloud9,Last Round Save,2,0,2021-02-26,3,Haven,Icebox,,,
1,Ghost Gaming,Spotlight,2,1,2021-02-26,3,Haven,Ascent,Bind,,
1,Renegades,Evil Geniuses,2,0,2021-02-26,3,Haven,Ascent,Split,,
-1,Akella,beastcoast,0,2,2021-02-26,3,Icebox,Ascent,,,
1,Built By Gamers,Elysium,2,0,2021-02-26,3,Bind,Ascent,,,
-1,Spacestation Gaming,DaHoonkaBhanKoloos(Kooky Koalas ),0,2,2021-02-26,3,Ascent,Icebox,,,
1,Version1,Rise,2,0,2021-02-26,3,Split,Icebox,Haven,,
1,T1,Frick Ya Bag,2,0,2021-02-26,3,Ascent,Haven,,,
-1,Built By Gamers,DaHoonkaBhanKoloos(Kooky Koalas ),0,2,2021-02-26,3,Bind,Ascent,,,
1,TSM,Spot Up,2,0,2021-02-26,3,Split,Ascent,,,
1,Demon Time,Knights,2,1,2021-02-26,3,Haven,Ascent,Split,,
-1,Renegades,beastcoast,1,2,2021-02-26,3,Bind,Haven,Ascent,,
1,Cloud9,Ghost Gaming,2,1,2021-02-26,3,Haven,Ascent,Split,,
1,NRG Esports,On The Way,2,1,2021-02-26,3,Icebox,Haven,Bind,,
1,TSM,Version1,2,0,2021-02-27,3,Icebox,Ascent,Split,,
-1,Demon Time,NRG Esports,0,2,2021-02-27,3,Split,Haven,Ascent,,
1,T1,Cloud9,2,0,2021-02-28,3,Icebox,Ascent,Split,,
-1,beastcoast,DaHoonkaBhanKoloos(Kooky Koalas ),1,2,2021-02-28,3,Ascent,Icebox,Bind,,
1,Luminosity,Kooky Koalas,2,0,2021-03-04,3,Bind,Icebox,Ascent,,
-1,Gen.G,TSM,0,2,2021-03-04,3,Bind,Ascent,Icebox,,
1,FaZe Clan,T1,2,0,2021-03-04,3,Icebox,Haven,Ascent,,
-1,100 Thieves,NRG Esports,1,2,2021-03-04,3,Haven,Bind,Ascent,,
-1,Kooky Koalas,Gen.G,0,2,2021-03-04,3,Haven,Ascent,Bind,,
1,100 Thieves,T1,2,1,2021-03-04,3,Haven,Icebox,Ascent,,
1,Luminosity,TSM,2,0,2021-03-05,3,Ascent,Icebox,Bind,,
-1,NRG Esports,FaZe Clan,1,2,2021-03-05,3,Bind,Haven,Ascent,,
-1,TSM,100 Thieves,0,2,2021-03-05,3,Icebox,Ascent,Bind,,
-1,NRG Esports,Gen.G,0,2,2021-03-05,3,Ascent,Haven,Bind,,
-1,Luminosity,FaZe Clan,0,2,2021-03-06,3,Icebox,Ascent,Bind,,
-1,Gen.G,100 Thieves,1,2,2021-03-06,3,Ascent,Haven,Bind,,
-1,Luminosity,100 Thieves,0,2,2021-03-06,3,Icebox,Ascent,Bind,,
1,FaZe Clan,100 Thieves,3,0,2021-03-07,5,,Icebox,Bind,Ascent,Haven
